,ENTIDAD,estado,MUN,NOM_MUN,LOC,nombre,longitud,latitud,pob_total,pob_masculina,pob_femenina
52311,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa," 99°05'33.441"" W","19°21'32.414"" N",1835486,887651.0,947835.0
6348,2,Baja California,4,Tijuana,1,Tijuana,"117°01'08.088"" W","32°31'56.859"" N",1810645,911352.0,899293.0
91716,15,México,33,Ecatepec de Morelos,1,Ecatepec de Morelos," 99°02'56.971"" W","19°35'56.650"" N",1643623,797691.0,845932.0
62723,11,Guanajuato,20,León,1,León de los Aldama,"101°40'59.519"" W","21°07'19.099"" N",1579803,775591.0,804212.0
129890,21,Puebla,114,Puebla,1,Heroica Puebla de Zaragoza," 98°11'50.981"" W","19°02'38.363"" N",1542232,735970.0,806262.0
47906,8,Chihuahua,37,Juárez,1,Juárez,"106°29'06.067"" W","31°44'47.275"" N",1501551,751394.0,750157.0
82715,14,Jalisco,39,Guadalajara,1,Guadalajara,"103°20'32.000"" W","20°40'35.000"" N",1385621,666993.0,718628.0
89906,14,Jalisco,120,Zapopan,1,Zapopan,"103°23'20.356"" W","20°43'15.463"" N",1257547,612149.0,645398.0
52307,9,Ciudad de México,5,Gustavo A. Madero,1,Gustavo A. Madero," 99°06'48.495"" W","19°28'58.603"" N",1173351,563874.0,609477.0
113273,19,Nuevo León,39,Monterrey,1,Monterrey,"100°18'39.210"" W","25°39'52.910"" N",1142952,564780.0,578172.0
92583,15,México,58,Nezahualcóyotl,1,Ciudad Nezahualcóyotl," 99°01'05.520"" W","19°24'31.548"" N",1072676,515678.0,556998.0
43323,8,Chihuahua,19,Chihuahua,1,Chihuahua,"106°04'34.704"" W","28°38'12.458"" N",925762,450986.0,474776.0
189129,31,Yucatán,50,Mérida,1,Mérida," 89°37'27.810"" W","20°58'03.134"" N",921771,442462.0,479309.0
136436,23,Quintana Roo,5,Benito Juárez,1,Cancún," 86°49'29.320"" W","21°09'41.098"" N",888797,447616.0,441181.0
15938,5,Coahuila de Zaragoza,30,Saltillo,1,Saltillo,"100°59'58.996"" W","25°25'17.993"" N",864431,429678.0,434753.0
7,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,"102°17'45.768"" W","21°52'47.362"" N",863893,419168.0,444725.0
153218,26,Sonora,30,Hermosillo,1,Hermosillo,"110°57'30.469"" W","29°04'29.610"" N",855563,423942.0,431621.0
3756,2,Baja California,2,Mexicali,1,Mexicali,"115°28'32.084"" W","32°38'28.233"" N",854186,428209.0,425977.0
140670,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,"100°58'37.049"" W","22°09'05.958"" N",845941,408571.0,437370.0
145524,25,Sinaloa,6,Culiacán,1,Culiacán Rosales,"107°23'37.522"" W","24°48'31.709"" N",808416,392165.0,416251.0
134789,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,"100°23'23.846"" W","20°35'36.208"" N",794789,387550.0,407239.0
92523,15,México,57,Naucalpan de Juárez,1,Naucalpan de Juárez," 99°13'59.585"" W","19°28'43.690"" N",776220,373698.0,402522.0
52586,9,Ciudad de México,10,Álvaro Obregón,1,Álvaro Obregón," 99°11'43.488"" W","19°23'26.902"" N",759003,360935.0,398068.0
100155,16,Michoacán de Ocampo,53,Morelia,1,Morelia,"101°11'31.367"" W","19°42'12.182"" N",743275,355161.0,388114.0
91676,15,México,31,Chimalhuacán,1,Chimalhuacán," 98°56'43.077"" W","19°25'00.867"" N",703215,343614.0,359601.0
164138,28,Tamaulipas,32,Reynosa,1,Reynosa," 98°16'41.265"" W","26°05'32.460"" N",691557,343170.0,348387.0
16752,5,Coahuila de Zaragoza,35,Torreón,1,Torreón,"103°27'11.018"" W","25°32'30.312"" N",690193,336449.0,353744.0
94340,15,México,104,Tlalnepantla de Baz,1,Tlalnepantla," 99°11'42.714"" W","19°32'18.684"" N",658907,320454.0,338453.0
67893,12,Guerrero,1,Acapulco de Juárez,1,Acapulco de Juárez," 99°53'11.608"" W","16°51'42.721"" N",658609,312630.0,345979.0
88552,14,Jalisco,98,San Pedro Tlaquepaque,1,Tlaquepaque,"103°18'26.000"" W","20°38'19.000"" N",650123,320758.0,329365.0
111956,19,Nuevo León,26,Guadalupe,1,Guadalupe,"100°15'35.630"" W","25°40'38.370"" N",635862,315235.0,320627.0
53320,10,Durango,5,Durango,1,Victoria de Durango,"104°40'12.700"" W","24°01'26.357"" N",616068,298802.0,317266.0
52278,9,Ciudad de México,3,Coyoacán,1,Coyoacán," 99°09'43.724"" W","19°21'00.770"" N",614447,289110.0,325337.0
52650,9,Ciudad de México,12,Tlalpan,1,Tlalpan," 99°10'01.654"" W","19°17'17.790"" N",599935,285651.0,314284.0
35735,7,Chiapas,101,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez," 93°06'54.690"" W","16°45'14.300"" N",578830,275074.0,303756.0
52933,9,Ciudad de México,15,Cuauhtémoc,1,Cuauhtémoc," 99°09'06.781"" W","19°26'29.928"" N",545884,260951.0,284933.0
109590,19,Nuevo León,6,Apodaca,1,Ciudad Apodaca,"100°11'21.220"" W","25°46'52.660"" N",536436,269157.0,267279.0
91179,15,México,13,Atizapán de Zaragoza,1,Ciudad López Mateos," 99°14'06.147"" W","19°32'35.414"" N",523065,253135.0,269930.0
95319,15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli," 99°12'33.430"" W","19°39'25.184"" N",515353,249272.0,266081.0
162826,28,Tamaulipas,22,Matamoros,1,Heroica Matamoros," 97°30'17.361"" W","25°52'47.695"" N",510739,251510.0,259229.0
111470,19,Nuevo León,21,General Escobedo,1,Ciudad General Escobedo,"100°19'21.510"" W","25°48'28.750"" N",454967,228698.0,226269.0
62065,11,Guanajuato,17,Irapuato,1,Irapuato,"101°20'53.221"" W","20°40'22.085"" N",452090,221744.0,230346.0
52937,9,Ciudad de México,17,Venustiano Carranza,1,Venustiano Carranza," 99°06'49.324"" W","19°25'09.343"" N",443704,210118.0,233586.0
175067,30,Veracruz de Ignacio de la Llave,87,Xalapa,1,Xalapa-Enríquez," 96°55'21.521"" W","19°31'37.505"" N",443063,205096.0,237967.0
88801,14,Jalisco,101,Tonalá,1,Tonalá,"103°14'44.000"" W","20°37'24.000"" N",442440,218285.0,224155.0
147902,25,Sinaloa,12,Mazatlán,1,Mazatlán,"106°25'19.997"" W","23°12'01.137"" N",441975,214866.0,227109.0
52931,9,Ciudad de México,14,Benito Juárez,1,Benito Juárez," 99°09'28.272"" W","19°22'19.172"" N",434153,202121.0,232032.0
52276,9,Ciudad de México,2,Azcapotzalco,1,Azcapotzalco," 99°11'03.698"" W","19°29'02.770"" N",432205,204950.0,227255.0
52817,9,Ciudad de México,13,Xochimilco,1,Xochimilco," 99°06'17.688"" W","19°15'48.463"" N",429481,209088.0,220393.0
163818,28,Tamaulipas,27,Nuevo Laredo,1,Nuevo Laredo," 99°30'30.574"" W","27°29'10.649"" N",416055,204996.0,211059.0
52935,9,Ciudad de México,16,Miguel Hidalgo,1,Miguel Hidalgo," 99°11'26.716"" W","19°24'26.168"" N",414470,195467.0,219003.0
113892,19,Nuevo León,46,San Nicolás de los Garza,1,San Nicolás de los Garza,"100°17'22.510"" W","25°45'18.910"" N",412199,202958.0,209241.0
186778,30,Veracruz de Ignacio de la Llave,193,Veracruz,1,Veracruz," 96°09'10.899"" W","19°11'25.164"" N",405952,190134.0,215818.0
52309,9,Ciudad de México,6,Iztacalco,1,Iztacalco," 99°05'51.406"" W","19°23'45.245"" N",404695,192352.0,212343.0
93320,15,México,81,Tecámac,19,Ojo de Agua," 98°59'51.428"" W","19°40'41.890"" N",386290,187041.0,199249.0
95332,15,México,122,Valle de Chalco Solidaridad,1,Xico," 98°56'36.415"" W","19°16'43.554"" N",384327,186945.0,197382.0
60243,11,Guanajuato,7,Celaya,1,Celaya,"100°48'48.863"" W","20°31'17.486"" N",378143,183294.0,194849.0
108409,18,Nayarit,17,Tepic,1,Tepic,"104°53'37.677"" W","21°30'26.687"" N",371387,178857.0,192530.0
91846,15,México,39,Ixtapaluca,1,Ixtapaluca," 98°53'03.290"" W","19°18'47.176"" N",368585,178452.0,190133.0
104978,17,Morelos,7,Cuernavaca,1,Cuernavaca," 99°14'05.629"" W","18°55'18.418"" N",341029,160659.0,180370.0
158106,27,Tabasco,4,Centro,1,Villahermosa," 92°55'09.898"" W","17°59'16.215"" N",340060,161938.0,178122.0
