nombre,estado,latitud,longitud,pob_total,pob_masculina,pob_femenina
Sector de Producción Número 1,Aguascalientes,22.239975,-102.010549,69,35.0,34.0
Pablo Escaleras,Aguascalientes,22.248452,-102.333222,3415,1678.0,1737.0
El Pendiente [Rancho],Aguascalientes,22.141762,-102.048184,4,,
Jilotepec,Aguascalientes,22.037301,-102.077119,961,466.0,495.0
Clavellinas,Aguascalientes,22.140142,-102.137837,651,308.0,343.0
Los Lobos,Aguascalientes,22.094258,-102.305016,3,,
La Petaquilla (El Milagro),Aguascalientes,21.763079,-102.156287,6,,
Los Pirules,Aguascalientes,22.36839,-102.239473,4,,
La Curva,Aguascalientes,22.115813,-102.30879,7,,
El Llano [CERESO],Aguascalientes,21.810034,-102.108579,470,,
Las Huertas,Aguascalientes,22.104149,-102.275189,1,,
Norias de Paso Hondo (La Lomita) [Ejido],Aguascalientes,21.862466,-102.195045,72,42.0,30.0
San Miguelito,Aguascalientes,21.877774,-102.401144,10,,
Pozo Número 4 [Sociedad],Aguascalientes,21.97701,-102.269312,2,,
San Lorenzo,Aguascalientes,21.957089,-102.369278,1,,
San Pedro,Aguascalientes,21.879738,-102.083887,4,,
El Misterio,Aguascalientes,21.798256,-102.300985,5,,
La Huerta (Km. 2) [Rancho],Aguascalientes,22.186365,-102.227926,3,,
San Martín,Aguascalientes,21.792919,-102.268209,27,14.0,13.0
El Rosario,Aguascalientes,22.003002,-102.310831,6,,
Rancho de Don Pepino,Aguascalientes,22.197017,-102.287864,5,,
San Carlos [Rancho],Aguascalientes,21.806107,-102.358404,13,,
San Antonio de Peñuelas,Aguascalientes,21.674431,-102.301305,2616,1297.0,1319.0
Norias de Cedazo (Cedazo Norias de Montoro),Aguascalientes,21.772042,-102.312021,265,152.0,113.0
La Joya,Aguascalientes,22.045028,-102.009541,46,21.0,25.0
El Epazote,Aguascalientes,22.044154,-101.868864,331,163.0,168.0
La Victoria,Aguascalientes,22.295179,-102.222639,4,,
El Columpio,Aguascalientes,21.833574,-102.37608,23,10.0,13.0
Rancho Guadalupe (La Puerta del Muerto),Aguascalientes,22.299113,-102.238033,14,4.0,10.0
Ninguno [Centro de Reeducación para Menores],Aguascalientes,21.88824,-102.368069,44,,
Villa de Guadalupe,Aguascalientes,22.073012,-102.253799,1,,
La Mesa,Aguascalientes,22.044971,-102.226768,7,,
Los Corrales (Los Corrales Blancos),Aguascalientes,22.077744,-102.236537,22,10.0,12.0
Camino a Colonia Nueva (Viñedos los Zapata),Aguascalientes,22.049407,-102.305282,8,,
La Fortuna,Aguascalientes,21.832967,-102.329403,37,19.0,18.0
La Casita,Aguascalientes,21.969814,-102.267053,232,111.0,121.0
El Refugio (Las Praderas),Aguascalientes,21.812738,-102.756721,5,,
El Invernadero,Aguascalientes,22.137869,-102.299392,20,11.0,9.0
Santa Elena [Rancho],Aguascalientes,22.217235,-102.261618,4,,
Tapias Viejas,Aguascalientes,21.848403,-102.535026,952,486.0,466.0
La Puerta (Granjas Cariñán),Aguascalientes,21.886168,-102.378686,17,8.0,9.0
